date,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Load_Type,Usage_kWh
1/1/2018 0:15,2.95,0,0,73.21,100,900,Weekday,Light_Load,3.17
1/1/2018 0:30,4.46,0,0,66.77,100,1800,Weekday,Light_Load,4
1/1/2018 0:45,3.28,0,0,70.28,100,2700,Weekday,Light_Load,3.24
1/1/2018 1:00,3.56,0,0,68.09,100,3600,Weekday,Light_Load,3.31
1/1/2018 1:15,4.5,0,0,64.72,100,4500,Weekday,Light_Load,3.82
1/1/2018 1:30,3.56,0,0,67.76,100,5400,Weekday,Light_Load,3.28
1/1/2018 1:45,4.14,0,0,65.62,100,6300,Weekday,Light_Load,3.6
1/1/2018 2:00,4.28,0,0,64.37,100,7200,Weekday,Light_Load,3.6
1/1/2018 2:15,3.64,0,0,66.94,100,8100,Weekday,Light_Load,3.28
1/1/2018 2:30,4.72,0,0,62.51,100,9000,Weekday,Light_Load,3.78
1/1/2018 2:45,4.03,0,0,65.14,100,9900,Weekday,Light_Load,3.46
1/1/2018 3:00,3.64,0,0,66.49,100,10800,Weekday,Light_Load,3.24
1/1/2018 3:15,4.97,0,0,62.32,100,11700,Weekday,Light_Load,3.96
1/1/2018 3:30,3.74,0,0,66.27,100,12600,Weekday,Light_Load,3.31
1/1/2018 3:45,3.85,0,0,65.19,100,13500,Weekday,Light_Load,3.31
1/1/2018 4:00,5,0,0,61.4,100,14400,Weekday,Light_Load,3.89
1/1/2018 4:15,3.82,0,0,65.14,100,15300,Weekday,Light_Load,3.28
1/1/2018 4:30,4.28,0,0,63.95,100,16200,Weekday,Light_Load,3.56
1/1/2018 4:45,4.54,0,0,63.58,100,17100,Weekday,Light_Load,3.74
1/1/2018 5:00,3.6,0,0,67.68,100,18000,Weekday,Light_Load,3.31
1/1/2018 5:15,4.07,0,0,65.84,100,18900,Weekday,Light_Load,3.56
1/1/2018 5:30,4.1,0,0,65.56,100,19800,Weekday,Light_Load,3.56
1/1/2018 5:45,3.49,0,0,68.48,100,20700,Weekday,Light_Load,3.28
1/1/2018 6:00,4.32,0,0,65.85,100,21600,Weekday,Light_Load,3.78
1/1/2018 6:15,3.64,0,0,67.72,100,22500,Weekday,Light_Load,3.35
1/1/2018 6:30,3.35,0,0,69.52,100,23400,Weekday,Light_Load,3.24
1/1/2018 6:45,4.46,0,0,65.73,100,24300,Weekday,Light_Load,3.89
1/1/2018 7:00,3.53,0,0,68.4,100,25200,Weekday,Light_Load,3.31
1/1/2018 7:15,3.49,0,0,68.48,100,26100,Weekday,Light_Load,3.28
1/1/2018 7:30,4.75,0,0,62.97,100,27000,Weekday,Light_Load,3.85
1/1/2018 7:45,3.6,0,0,66.44,100,27900,Weekday,Light_Load,3.2
1/1/2018 8:00,3.78,0,0,65.88,100,28800,Weekday,Light_Load,3.31
1/1/2018 8:15,4.75,0,0,62.27,100,29700,Weekday,Light_Load,3.78
1/1/2018 8:30,3.74,0,0,65.94,100,30600,Weekday,Light_Load,3.28
1/1/2018 8:45,4.46,0.18,0,61.63,99.87,31500,Weekday,Light_Load,3.49
1/1/2018 9:00,0,15.66,0,100,24.11,32400,Weekday,Light_Load,3.89
1/1/2018 9:15,0,16.96,0,100,20.76,33300,Weekday,Light_Load,3.6
1/1/2018 9:30,0,21.28,0,100,18.61,34200,Weekday,Light_Load,4.03
1/1/2018 9:45,0,19.22,0,100,19.98,35100,Weekday,Light_Load,3.92
1/1/2018 10:00,0,16.88,0,100,21.08,36000,Weekday,Light_Load,3.64
1/1/2018 10:15,0,22.32,0,100,17.94,36900,Weekday,Light_Load,4.07
1/1/2018 10:30,0,18,0,100,20.19,37800,Weekday,Light_Load,3.71
1/1/2018 10:45,0,16.92,0,100,20.81,38700,Weekday,Light_Load,3.6
1/1/2018 11:00,0,23.4,0,100,17.71,39600,Weekday,Light_Load,4.21
1/1/2018 11:15,0,5.65,0,100,52.55,40500,Weekday,Light_Load,3.49
1/1/2018 11:30,0,4.82,0,100,58.31,41400,Weekday,Light_Load,3.46
1/1/2018 11:45,0,6.7,0,100,51.26,42300,Weekday,Light_Load,4
1/1/2018 12:00,0,4.57,0,100,60.69,43200,Weekday,Light_Load,3.49
1/1/2018 12:15,0,12.89,0,100,26.9,44100,Weekday,Light_Load,3.6
1/1/2018 12:30,0,23.15,0,100,18.06,45000,Weekday,Light_Load,4.25
1/1/2018 12:45,0,16.67,0,100,21.5,45900,Weekday,Light_Load,3.67
1/1/2018 13:00,0,16.63,0,100,21.55,46800,Weekday,Light_Load,3.67
1/1/2018 13:15,0,23.33,0,100,17.92,47700,Weekday,Light_Load,4.25
1/1/2018 13:30,0,16.74,0,100,21.25,48600,Weekday,Light_Load,3.64
1/1/2018 13:45,0,16.99,0,100,21.11,49500,Weekday,Light_Load,3.67
1/1/2018 14:00,0,23.4,0,100,17.99,50400,Weekday,Light_Load,4.28
1/1/2018 14:15,0,16.67,0,100,21.33,51300,Weekday,Light_Load,3.64
1/1/2018 14:30,0,18.25,0,100,20.28,52200,Weekday,Light_Load,3.78
1/1/2018 14:45,0,22.1,0,100,18.24,53100,Weekday,Light_Load,4.1
1/1/2018 15:00,0,16.7,0,100,21.3,54000,Weekday,Light_Load,3.64
1/1/2018 15:15,0,19.33,0,100,19.87,54900,Weekday,Light_Load,3.92
1/1/2018 15:30,0,21.35,0,100,18.86,55800,Weekday,Light_Load,4.1
1/1/2018 15:45,0,16.81,0,100,20.94,56700,Weekday,Light_Load,3.6
1/1/2018 16:00,0,20.45,0,100,19.01,57600,Weekday,Light_Load,3.96
1/1/2018 16:15,0,20.77,0,100,18.91,58500,Weekday,Light_Load,4
1/1/2018 16:30,0,16.81,0,100,20.94,59400,Weekday,Light_Load,3.6
1/1/2018 16:45,0,21.64,0,100,18.48,60300,Weekday,Light_Load,4.07
1/1/2018 17:00,0,19.19,0,100,19.52,61200,Weekday,Light_Load,3.82
1/1/2018 17:15,0,16.96,0,100,20.54,62100,Weekday,Light_Load,3.56
1/1/2018 17:30,0,23.51,0,100,17.18,63000,Weekday,Light_Load,4.1
1/1/2018 17:45,0,17.39,0,100,20.27,63900,Weekday,Light_Load,3.6
1/1/2018 18:00,0,17.35,0,100,20.32,64800,Weekday,Light_Load,3.6
1/1/2018 18:15,0,8.96,0,100,40.77,65700,Weekday,Light_Load,4
1/1/2018 18:30,0,5.47,0,100,53.01,66600,Weekday,Light_Load,3.42
1/1/2018 18:45,0,16.24,0,100,22.04,67500,Weekday,Light_Load,3.67
1/1/2018 19:00,0,22.57,0,100,17.75,68400,Weekday,Light_Load,4.07
1/1/2018 19:15,0,17.39,0,100,19.89,69300,Weekday,Light_Load,3.53
1/1/2018 19:30,0,20.74,0,100,18.25,70200,Weekday,Light_Load,3.85
1/1/2018 19:45,0,20.88,0,100,18.63,71100,Weekday,Light_Load,3.96
1/1/2018 20:00,0,17.35,0,100,20.1,72000,Weekday,Light_Load,3.56
1/1/2018 20:15,0,22.54,0,100,17.6,72900,Weekday,Light_Load,4.03
1/1/2018 20:30,0,19.55,0,100,18.79,73800,Weekday,Light_Load,3.74
1/1/2018 20:45,0,17.42,0,100,20.02,74700,Weekday,Light_Load,3.56
1/1/2018 21:00,0,24.26,0,100,17.1,75600,Weekday,Light_Load,4.21
1/1/2018 21:15,0,17.75,0,100,19.66,76500,Weekday,Light_Load,3.56
1/1/2018 21:30,0,17.42,0,100,19.86,77400,Weekday,Light_Load,3.53
1/1/2018 21:45,0,25.2,0,100,16.63,78300,Weekday,Light_Load,4.25
1/1/2018 22:00,0,17.5,0,100,19.77,79200,Weekday,Light_Load,3.53
1/1/2018 22:15,1.44,10.08,0,92.7,33.3,80100,Weekday,Light_Load,3.56
1/1/2018 22:30,4.21,0,0,65.71,100,81000,Weekday,Light_Load,3.67
1/1/2018 22:45,3.35,0,0,69.52,100,81900,Weekday,Light_Load,3.24
1/1/2018 23:00,3.74,0,0,68.64,100,82800,Weekday,Light_Load,3.53
1/1/2018 23:15,3.42,0,0,71.82,100,83700,Weekday,Light_Load,3.53
1/1/2018 23:30,2.95,0,0,73.94,100,84600,Weekday,Light_Load,3.24
1/1/2018 23:45,3.96,0,0,67.97,100,85500,Weekday,Light_Load,3.67
1/1/2018 0:00,3.46,0,0,70.3,100,0,Weekday,Light_Load,3.42
2/1/2018 0:15,3.1,0,0,71.82,100,900,Weekday,Light_Load,3.2
2/1/2018 0:30,4.61,0,0,64.1,100,1800,Weekday,Light_Load,3.85
2/1/2018 0:45,3.67,0,0,66.64,100,2700,Weekday,Light_Load,3.28
2/1/2018 1:00,3.6,0,0,68.12,100,3600,Weekday,Light_Load,3.35
2/1/2018 1:15,4.72,0,0,63.6,100,4500,Weekday,Light_Load,3.89
2/1/2018 1:30,3.53,0,0,68.07,100,5400,Weekday,Light_Load,3.28
2/1/2018 1:45,3.96,0,0,65.8,100,6300,Weekday,Light_Load,3.46
2/1/2018 2:00,4.82,0,0,61.71,100,7200,Weekday,Light_Load,3.78
2/1/2018 2:15,3.53,0,0,68.4,100,8100,Weekday,Light_Load,3.31
2/1/2018 2:30,4.36,0,0,63.67,100,9000,Weekday,Light_Load,3.6
2/1/2018 2:45,4.39,0,0,63.83,100,9900,Weekday,Light_Load,3.64
2/1/2018 3:00,3.71,0,0,66.24,100,10800,Weekday,Light_Load,3.28
2/1/2018 3:15,4.57,0,0,63.03,100,11700,Weekday,Light_Load,3.71
2/1/2018 3:30,4.03,0,0,66.21,100,12600,Weekday,Light_Load,3.56
2/1/2018 3:45,3.49,0,0,68.04,100,13500,Weekday,Light_Load,3.24
2/1/2018 4:00,4.64,0,0,64.25,100,14400,Weekday,Light_Load,3.89
2/1/2018 4:15,3.42,0,0,69.22,100,15300,Weekday,Light_Load,3.28
2/1/2018 4:30,3.49,0,0,68.48,100,16200,Weekday,Light_Load,3.28
2/1/2018 4:45,4.68,0,0,64.59,100,17100,Weekday,Light_Load,3.96
2/1/2018 5:00,3.42,0,0,68.77,100,18000,Weekday,Light_Load,3.24
2/1/2018 5:15,3.78,0,0,67.52,100,18900,Weekday,Light_Load,3.46
2/1/2018 5:30,4.07,0,0,66.97,100,19800,Weekday,Light_Load,3.67
2/1/2018 5:45,3.42,0,0,68.77,100,20700,Weekday,Light_Load,3.24
2/1/2018 6:00,3.96,0,0,67.97,100,21600,Weekday,Light_Load,3.67
2/1/2018 6:15,3.78,0,0,68.25,100,22500,Weekday,Light_Load,3.53
2/1/2018 6:30,3.24,0,0,70.27,100,23400,Weekday,Light_Load,3.2
2/1/2018 6:45,4.07,0,0,68.05,100,24300,Weekday,Light_Load,3.78
2/1/2018 7:00,3.35,0,0,70.71,100,25200,Weekday,Light_Load,3.35
2/1/2018 7:15,3.49,0,0,71.11,100,26100,Weekday,Light_Load,3.53
