quarter,department,targeted_productivity,smv,wip,over_time,incentive,idle_time,no_of_style_change,no_of_workers,actual_productivity
Quarter1,sweing,0.8,26.16,1108,7080,98,0,0,59,0.940725424
Quarter1,finishing ,0.75,3.94,,960,0,0,0,8,0.8865
Quarter1,sweing,0.8,11.41,968,3660,50,0,0,30.5,0.800570492
Quarter1,sweing,0.8,11.41,968,3660,50,0,0,30.5,0.800570492
Quarter1,sweing,0.8,25.9,1170,1920,50,0,0,56,0.800381944
Quarter1,sweing,0.8,25.9,984,6720,38,0,0,56,0.800125
Quarter1,finishing ,0.75,3.94,,960,0,0,0,8,0.755166667
Quarter1,sweing,0.75,28.08,795,6900,45,0,0,57.5,0.753683478
Quarter1,sweing,0.75,19.87,733,6000,34,0,0,55,0.753097531
Quarter1,sweing,0.75,28.08,681,6900,45,0,0,57.5,0.750427826
Quarter1,sweing,0.7,28.08,872,6900,44,0,0,57.5,0.721126957
Quarter1,sweing,0.75,19.31,578,6480,45,0,0,54,0.712205247
Quarter1,sweing,0.8,11.41,668,3660,50,0,0,30.5,0.707045902
Quarter1,finishing ,0.65,3.94,,960,0,0,0,8,0.705916667
Quarter1,finishing ,0.75,2.9,,960,0,0,0,8,0.676666667
Quarter1,finishing ,0.75,3.94,,2160,0,0,0,18,0.593055556
Quarter1,finishing ,0.8,2.9,,960,0,0,0,8,0.540729167
Quarter1,sweing,0.65,23.69,861,7200,0,0,0,60,0.52118
Quarter1,finishing,0.7,4.15,,1440,0,0,0,12,0.436326389
Quarter1,finishing ,0.8,4.15,,6600,0,0,0,20,0.988024691
Quarter1,finishing ,0.75,2.9,,5640,0,0,0,17,0.987880435
Quarter1,finishing ,0.8,4.15,,960,0,0,0,8,0.956270833
Quarter1,finishing ,0.75,3.94,,1560,0,0,0,8,0.945277778
Quarter1,finishing ,0.8,3.94,,960,0,0,0,8,0.902916667
Quarter1,sweing,0.8,28.08,772,6300,50,0,0,56.5,0.800725314
Quarter1,sweing,0.8,28.08,913,6540,50,0,0,54.5,0.800322936
Quarter1,sweing,0.8,26.16,1261,7080,50,0,0,59,0.800318644
Quarter1,sweing,0.8,26.16,844,7080,63,0,0,59,0.800318644
